short_desc,severity
update jdt feature use new versions orgeclipsejdtannotation,normal
refactoring corrupted refactor scripts moving classes across packages,critical
widgets jvm crash tableviewersetitemcountint,major
save participant creates error jdt core ast creation,normal
refuses send pop mail keeps asking password,major
npe environmentvariableresolverresolvevalue,normal
project build behaviour errorneuous,major
markers renaming bookmark fails throws exception log,normal
console console overflows rapid write causing crash,major
renaming parameter spaced name leading compilation error,major
code assist array initializer,normal
addition externalfoldersmanager inside java model manager breaks retrieval javacoregetoptions headless eclipse,critical
text exception return values variables view inconsistent,trivial
exception cutting method,major
paste string auto escape toggle,minor
open wwiqiyicomthose videos dont work first timerefresh times againit work wellwhy,minor
incorrect spelling independant help,trivial
menu entries contributed programmatically disabled eclipse,major
net checkboxes cut network connections preference page,trivial
workbench incorrect return abstractuiplugininitializeimageregistry,trivial
email times neith receive send,critical
tasks tvt multiple mnemonics tasks sorting screen,minor
polish prompted delete selected breakpoints empty group,trivial
cvs repo view invalid tag shown cvs view,major
help server preferences consistent grammatically incorrect,trivial
launching nondescriptive error messages remote debugging,minor
show command line results formatted,normal
templates using lineselection templates destroys formatting application certain types logic,minor
forms cocoa ugly using forms,major
bidihcg cc editor rtl mirrored eclipse,major
breakpoints breakpoint view updated delete group show supported options enabled,minor
quick fix add exceptions quickfix nothing,minor
stringliteralsetliteralvalue unicode escaping,normal
remove underline main toolbar mac,normal
vm detection fails linux,critical
searching function,minor
build path edit source folder edit inclusen filter wrong lable path name shown,minor
radiobutton get selected user clicks composite created formtoolkit,minor
missing space synchronize view,trivial
unable use use dark theme scrollbars theme contain dark,major
eclipseautomatedtestszip produces compile errors build path ibm jdk,critical
team override commit work never took server change,major
thunderbird hang network share longer available,critical
npe playing orgeclipsecdtvisualizerexamples,trivial
font selection dialog respect lang env variable,minor
gtk swing components keep focus coming back swt widgets,critical
refactoring trigger reconcile,normal
dcr state mask set mousetrackermousehover,major
workbench log location shown failing obtain lock,normal
change exception message,normal
cannot copy files using efs backend,major
new mail imap displayed message list found search folder reappears rebuilding index,major
orgeclipseswtbrowserbrowsermozilladelegatefindbrowser arbitraryly cascade widget browser,critical
expressions incrementdecrement operators cause continual incrementdecrement expressions view,normal
bug,critical
thunderbird crashes deleting mail form imap inbox nsimapprotocolsetupwithurl,critical
variables context menu actions need elipses,minor
extensions installedenabled even though xpinstall disabled via policy policies applied creating fx profile,major
java comment templates template load restart using gitconfig variable,normal
thunderbird hung upon restart virtual folders missing msf files missing started redownloading messages,critical
project wizard creates unnecessary directory code manipulation,minor
error importing readonly project windows linked resource exists case variant,normal
blackblank window hang os x hide tb sending email mac,critical
scanner inifinite loop parsing system include extrope,normal
java editor smoothly run,critical
rename eclipse model editor,trivial
